EpiID;id
S02T01_E01;270991012
S03T01_E01;272402245
S03T02_E02;277630707
S03T02_E02;272403824
S05T01_E01;277636803
S05T01_E02;277636800
S05T02_E01;277636807
S05T02_E02;277636813
S05T02_E03;277636816
S05T03_E01;277642758
S05T04_E01;277642765
S05T04_E02;277642767
S05T04_E03;277642768
S05T04_E04;277642770
S05T05_E01;277642771
S05T06_E01;277642780
S05T06_E02;277642779
S07T01_E01;279871605
S07T02_E01;279871606
S09T01_E01;280955936
S09T02_E01;280955939
S09T02_E02;280955941
S09T02_E03;280955942
S09T02_E04;280955943
S09T02_E05;280955944
S09T02_E06;280955945
S09T03_E01;280956579
S09T04_E01;280956582
S15T02_E04;322913059
S21T02_E01;303918385
S21T02_E02;303918386
